Subj#,fa_dist,far_dist,j1_hit50,j1_ms50,j1_fa50,j1_cr50,j1_hit25,j1_ms25,j1_fa25,j1_cr25,j1_hit10,j1_ms10,j1_fa10,j1_cr10,j1_hit02,j1_ms02,j1_fa02,j1_cr02,j2_hit50,j2_ms50,j2_fa50,j2_cr50,j2_hit25,j2_ms25,j2_fa25,j2_cr25,j2_hit10,j2_ms10,j2_fa10,j2_cr10,j2_hit02,j2_ms02,j2_fa02,j2_cr02,j3_hit50,j3_ms50,j3_fa50,j3_cr50,j3_hit25,j3_ms25,j3_fa25,j3_cr25,j3_hit10,j3_ms10,j3_fa10,j3_cr10,j3_hit02,j3_ms02,j3_fa02,j3_cr02,j4_hit50,j4_ms50,j4_fa50,j4_cr50,j4_hit25,j4_ms25,j4_fa25,j4_cr25,j4_hit10,j4_ms10,j4_fa10,j4_cr10,j4_hit02,j4_ms02,j4_fa02,j4_cr02,j5_hit50,j5_ms50,j5_fa50,j5_cr50,j5_hit25,j5_ms25,j5_fa25,j5_cr25,j5_hit10,j5_ms10,j5_fa10,j5_cr10,j5_hit02,j5_ms02,j5_fa02,j5_cr02,j6_hit50,j6_ms50,j6_fa50,j6_cr50,j6_hit25,j6_ms25,j6_fa25,j6_cr25,j6_hit10,j6_ms10,j6_fa10,j6_cr10,j6_hit02,j6_ms02,j6_fa02,j6_cr02,j7_hit50,j7_ms50,j7_fa50,j7_cr50,j7_hit25,j7_ms25,j7_fa25,j7_cr25,j7_hit10,j7_ms10,j7_fa10,j7_cr10,j7_hit02,j7_ms02,j7_fa02,j7_cr02,j8_hit50,j8_ms50,j8_fa50,j8_cr50,j8_hit25,j8_ms25,j8_fa25,j8_cr25,j8_hit10,j8_ms10,j8_fa10,j8_cr10,j8_hit02,j8_ms02,j8_fa02,j8_cr02
101,43,0.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,1,0,0,4,0,4,1,1,1,4,0,2,0,3,1,4,1,3,2,2,1,1,0,3,2,0,1,2,1,4,0,2,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,10,0,3,8,8,2,4,7,7,3,1,8,9,0,3,8
102,9,0.063,2,1,0,0,1,2,0,0,1,1,0,1,1,0,1,0,0,1,2,1,0,0,0,2,2,0,0,3,3,0,1,5,4,3,1,4,3,1,2,1,5,2,2,0,4,0,1,2,1,1,1,1,1,1,0,1,1,0,1,2,3,1,1,3,1,0,1,1,2,0,3,1,1,0,0,1,0,0,0,1,1,0,1,1,2,0,2,1,0,0,1,1,1,0,0,1,0,0,0,0,3,0,0,1,2,0,0,4,2,0,0,0,3,0,1,3,2,0,0,4,3,0,0,2,3,0,0,2
103,17,0.118,0,1,2,1,1,0,1,2,2,1,1,1,3,1,2,0,2,2,2,1,2,0,2,1,1,1,1,1,2,0,5,1,3,1,1,1,1,1,3,1,3,1,2,3,0,2,4,1,3,3,0,6,2,4,1,1,0,2,3,0,2,1,0,2,1,0,3,0,1,0,2,0,3,0,1,1,1,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,3,1,1,2,3,0,0,0
104,1,0.007,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,2,0,0,0,0,3,1,1,1,2,3,2,1,0,1,0,3,0,2,2,1,0,2,4,4,3,4,2,6,3,5,4,2,2,2,2,6,0,2,0,2,1,0,2,4,0,1,0,3,1,3,2,3,0,1,2,0,0,1,2,1,1,1,2,1,1,0,2,2,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1
105,21,0.146,3,1,1,0,1,1,0,1,0,2,3,1,3,1,6,0,2,3,4,4,5,3,3,3,3,2,2,1,3,0,3,0,2,1,0,2,2,0,1,1,4,2,5,2,7,0,3,1,0,3,0,0,2,0,3,0,2,0,1,0,1,0,0,0,1,1,0,1,2,1,1,2,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,1,1,0,0,1,0,1,0,1,1,2
106,4,0.028,1,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,1,0,1,4,1,0,2,2,2,0,0,2,2,0,0,5,3,1,1,3,2,0,0,2,3,0,0,5,5,1,2,3,6,0,0,3,7,0,1,4,2,0,1,1,4,0,0,2,1,1,2,3,2,0,0,2,3,0,0,4,1,0,0,1,4,0,0,1,4,0,0,5,5,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
201,80,0.556,2,0,2,0,2,0,5,0,1,1,4,0,1,0,2,0,5,2,5,3,6,1,5,0,5,2,2,0,9,1,7,2,5,1,4,1,7,1,2,2,6,0,5,0,6,0,2,3,3,0,1,0,0,0,1,0,2,0,4,1,1,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,23,0.160,2,1,2,0,1,1,0,1,1,1,0,2,1,0,1,2,1,2,2,1,4,2,1,4,2,2,1,3,4,0,1,3,1,2,2,1,2,1,1,0,1,0,0,0,3,1,2,0,0,0,1,1,1,2,0,2,3,2,1,1,1,0,0,3,2,1,0,1,0,0,0,3,3,0,1,1,1,1,1,0,0,0,0,0,0,1,1,2,1,0,2,3,2,0,0,1,3,0,3,2,2,0,1,0,0,0,1,0,1,2,0,3,2,1,2,0,1,0,0,2,2,0,0,2,1,0,1,0
203,61,0.424,1,1,0,1,2,1,1,0,1,0,2,1,5,1,0,1,2,1,0,1,0,1,1,2,4,0,1,2,3,0,0,3,0,1,1,3,1,0,0,2,1,0,0,0,2,0,1,2,2,0,1,2,1,3,2,2,0,0,0,0,0,0,0,1,2,0,2,0,1,1,0,1,2,0,0,1,1,0,0,1,1,1,0,2,0,0,0,2,4,0,3,2,2,0,1,3,2,2,0,2,2,0,0,3,0,0,1,2,2,0,0,2,1,1,2,1,5,0,0,2,6,0,0,3,1,1,0,3
204,9,0.063,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,3,1,2,3,3,4,5,2,5,4,4,3,3,5,3,2,1,2,6,2,4,0,0,6,0,2,1,2,3,1,2,5,1,1,3,1,4,2,4,1,0,0,2,3,0,0,4,2,0,0,0,0,0,0,2,1,1,1,2,2,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
205,32,0.222,0,2,5,1,0,0,2,0,2,0,4,0,2,0,0,0,1,0,1,1,2,1,1,0,2,1,1,1,1,0,0,1,5,0,0,2,3,0,2,1,2,0,2,3,2,0,2,0,1,1,1,0,2,0,2,1,0,1,1,0,2,0,3,2,1,0,2,1,7,1,2,0,3,1,0,0,3,1,0,1,2,0,0,1,1,0,4,0,0,0,2,1,0,0,1,0,1,0,0,2,1,0,0,0,2,0,2,1,2,0,1,1,4,0,0,1,0,0,1,2,3,1,0,0,4,1,3,3
206,5,0.035,0,1,0,0,1,0,1,1,3,0,1,1,0,0,0,2,0,2,0,3,1,1,2,0,1,0,0,6,3,3,0,3,3,1,1,2,0,0,0,1,2,0,3,0,3,2,0,5,1,0,2,1,1,2,0,2,2,0,0,1,1,0,0,0,2,1,0,1,3,0,1,0,1,0,0,2,1,2,0,2,3,0,2,3,4,1,0,7,2,0,0,1,1,0,0,2,2,0,0,0,2,0,0,2,4,0,0,2,1,0,0,2,2,0,0,3,2,0,0,1,3,0,0,1,1,0,0,2
207,22,0.153,1,0,0,1,0,0,0,0,3,0,0,1,0,1,0,0,1,0,0,0,1,1,0,2,1,0,1,1,2,0,2,0,0,1,0,0,2,0,3,0,1,0,1,0,1,1,2,0,2,0,1,0,1,0,3,1,2,2,1,0,2,0,0,0,3,1,5,1,4,1,1,1,3,2,1,2,6,1,2,2,2,0,1,4,3,0,3,1,2,1,5,1,2,0,4,2,3,0,1,0,1,0,2,0,1,0,0,1,1,0,3,0,1,3,2,2,2,2,0,1,0,0,2,1,0,1,1,0
208,17,0.118,0,1,0,0,0,1,0,1,0,1,1,0,2,1,2,2,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,1,2,0,2,1,3,0,1,2,2,0,2,2,2,1,1,0,2,0,1,1,3,1,0,2,2,0,1,0,0,0,1,3,2,0,0,0,0,1,0,2,0,0,0,2,0,0,1,2,2,1,0,1,0,1,0,2,0,1,0,2,3,0,0,0,1,2,0,1,0,0,0,1,2,0,1,0,0,0,0,0,3,2,1,9,5,2,0,4,10,0,1,6,8,1,0,4
209,13,0.090,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,2,1,1,4,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,2,1,1,1,3,0,0,2,1,1,2,1,3,1,2,0,5,0,1,0,3,0,2,2,4,1,0,0,2,0,0,2,0,0,5,0,1,1,2,0,1,0,0,0,3,0,2,0,4,1,2,3,3,0,1,1,1,1,1,4,2,1,1,2,1,1,2,0,3,0,0,2,2,1,1,1,3,0,5,3,1,0,1,2,4,0,0,3
210,14,0.097,0,0,2,0,1,0,0,0,3,0,0,0,0,1,2,0,1,2,2,2,3,0,2,3,5,0,1,4,3,1,1,7,5,0,3,4,5,2,2,2,4,0,3,2,4,2,1,2,2,3,2,1,4,2,3,1,2,0,2,4,4,1,0,1,3,0,0,1,0,0,0,0,2,0,1,1,1,0,0,3,2,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
211,11,0.076,0,2,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,0,1,1,1,2,2,0,0,0,2,1,3,0,1,1,2,3,1,5,2,2,6,4,4,2,2,1,6,1,2,1,1,2,2,1,3,0,2,1,2,4,2,1,3,0,3,2,2,0,1,1,1,0,1,0,0,1,2,0,0,0,0,1,1,0,1,2,0,0,1,0,2,0,1,0,1,0,0,3,1,0,0,0,2,0,0,1,1,0,1,3,2,0,0,2,2,0,1,1,4,0,0,0,1,0,0,1,1,0,1,0
212,32,0.222,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,2,1,0,1,2,5,0,2,4,2,0,0,1,3,0,3,2,5,1,5,1,2,0,3,0,1,0,7,1,4,2,1,1,4,0,2,0,2,0,1,1,9,0,1,0,4,0,5,0,3,1,4,0,2,0,3,3,3,1,2,0,0,1,2,1,1,0,1,1,3,0,0,0,1,0,2,1,2,0,0,0,1,0,0,1,2,0,0,0,1,0,0,2
213,21,0.146,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,3,1,0,3,3,1,0,5,3,1,0,5,3,0,2,2,1,1,2,2,2,1,3,0,5,0,0,3,4,0,3,3,1,0,2,1,3,0,2,0,3,0,0,1,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,2,1,4,0,0,2,0,0,1,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,3,6,0,3,2,5,0,2,3,5,0,0,7
214,5,0.035,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,1,0,1,0,1,0,5,1,0,3,5,1,0,3,6,0,3,4,2,1,0,1,2,2,1,3,1,0,2,0,3,1,5,0,3,2,2,3,3,0,3,0,2,0,3,0,2,1,1,0,3,0,3,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,2,0,0,1,1,1,1,2,0,0,1,1,2,1,5,1,2,0,1,1,1,1,3,0,3,2
215,7,0.049,0,0,0,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,2,5,2,1,1,2,3,1,1,2,2,0,1,1,4,3,0,3,2,2,1,4,5,1,2,3,2,2,1,3,0,2,1,2,1,1,1,2,0,0,1,1,2,1,0,3,2,3,0,0,1,2,1,0,1,0,1,1,1,0,0,3,1,1,2,0,3,0,0,2,3,0,0,3,2,0,2,2,1,0,0,1,1,0,0,2,2,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2
216,3,0.021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,4,1,2,1,0,4,4,1,4,2,1,4,4,3,4,6,9,1,5,4,7,2,5,2,8,0,1,6,1,0,4,1,2,0,1,4,3,0,1,4,2,0,0,5,2,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
217,2,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,6,3,11,8,4,3,11,9,4,4,8,11,2,2,11,4,0,1,0,1,2,0,3,2,1,3,1,3,0,0,2,3,0,1,2,3,0,1,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,25,0.174,8,0,6,2,8,1,6,3,7,1,8,2,11,0,2,8,3,2,2,1,3,1,3,0,6,0,2,1,3,0,1,2,1,0,1,0,3,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,2,0,1,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,1,0,2,2,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
219,1,0.007,0,0,1,2,3,1,1,1,4,3,1,2,3,0,1,1,3,5,0,7,2,0,3,6,5,1,3,3,5,1,0,6,0,4,2,1,5,0,0,2,2,0,1,3,2,1,0,5,1,2,1,1,1,1,1,1,0,1,1,1,4,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,2,1,0,1,2,0,0,0,0,0,0,2,0,0,0,1
220,8,0.056,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,1,2,0,2,1,2,1,3,2,7,0,2,0,7,3,3,4,4,3,6,3,3,4,6,1,3,0,3,3,1,1,3,2,2,1,1,0,3,2,2,0,5,0,2,4,2,0,0,3,3,0,1,0,0,0,0,0,2,0,1,2,2,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
221,34,0.236,2,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,3,0,0,1,0,2,0,1,1,0,0,1,0,0,1,0,2,1,0,1,3,1,5,0,0,4,0,0,3,3,4,1,1,2,2,1,2,0,0,2,3,1,2,1,1,2,2,2,2,1,1,1,3,1,2,1,1,2,4,0,1,3,1,1,0,0,4,3,1,1,3,2,2,2,5,1,2,3,2,1,3,1
222,43,0.299,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,2,5,4,4,5,4,2,2,3,5,4,6,2,2,2,3,5,2,2,3,3,3,7,4,1,2,2,2,1,5,6,1,1,2,0,2,0,0,1,1,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0
223,14,0.097,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,3,1,7,3,2,5,1,3,4,5,4,9,1,1,7,6,2,3,2,5,0,3,2,4,1,2,0,1,0,0,2,2,1,0,1,1,2,0,1,3,1,1,0,2,0,1,3,0,0,0,0,1,0,2,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,2,3,0,0,1,0,0,0,2,2,0,0,2
224,22,0.153,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,2,2,0,2,1,1,1,2,0,2,0,1,3,4,1,3,0,3,0,1,0,4,0,2,1,1,0,3,1,2,1,2,0,5,1,3,2,1,0,4,1,3,0,2,0,2,1,0,3,2,0,4,1,2,0,1,0,3,0,1,3,2,0,1,3,1,0,1,0,1,0,2,2,1,0,0,3,1,0,0,1,2,0,0,2,2,0,1,0,2,1,0,1,2,0,1,0,2,0,0,0,5,1,1,0,4,0,0,0
225,29,0.201,1,0,2,0,1,0,0,0,2,0,0,0,2,1,0,2,2,1,1,4,5,0,6,4,6,0,2,5,4,0,1,3,7,1,1,2,6,0,0,2,3,1,2,2,5,0,0,4,3,0,2,2,1,1,0,2,2,0,2,3,1,0,0,2,0,0,1,1,3,0,1,0,1,0,0,0,1,0,1,3,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,2,0,0,1
