subj #,j1_hr100,j1_ms100,j1_fa100,j1_cr100,j1_hr50,j1_ms50,j1_fa50,j1_cr50,j1_hr10,j1_ms10,j1_fa10,j1_cr10,j1_hr02,j1_ms02,j1_fa02,j1_cr02,j1_hr01,j1_ms01,j1_fa01,j1_cr01,j2_hr100,j2_ms100,j2_fa100,j2_cr100,j2_hr50,j2_ms50,j2_fa50,j2_cr50,j2_hr10,j2_ms10,j2_fa10,j2_cr10,j2_hr02,j2_ms02,j2_fa02,j2_cr02,j2_hr01,j2_ms01,j2_fa01,j2_cr01,j3_hr100,j3_ms100,j3_fa100,j3_cr100,j3_hr50,j3_ms50,j3_fa50,j3_cr50,j3_hr10,j3_ms10,j3_fa10,j3_cr10,j3_hr02,j3_ms02,j3_fa02,j3_cr02,j3_hr01,j3_ms01,j3_fa01,j3_cr01,j4_hr100,j4_ms100,j4_fa100,j4_cr100,j4_hr50,j4_ms50,j4_fa50,j4_cr50,j4_hr10,j4_ms10,j4_fa10,j4_cr10,j4_hr02,j4_ms02,j4_fa02,j4_cr02,j4_hr01,j4_ms01,j4_fa01,j4_cr01,j5_hr100,j5_ms100,j5_fa100,j5_cr100,j5_hr50,j5_ms50,j5_fa50,j5_cr50,j5_hr10,j5_ms10,j5_fa10,j5_cr10,j5_hr02,j5_ms02,j5_fa02,j5_cr02,j5_hr01,j5_ms01,j5_fa01,j5_cr01,j6_hr100,j6_ms100,j6_fa100,j6_cr100,j6_hr50,j6_ms50,j6_fa50,j6_cr50,j6_hr10,j6_ms10,j6_fa10,j6_cr10,j6_hr02,j6_ms02,j6_fa02,j6_cr02,j6_hr01,j6_ms01,j6_fa01,j6_cr01,j7_hr100,j7_ms100,j7_fa100,j7_cr100,j7_hr50,j7_ms50,j7_fa50,j7_cr50,j7_hr10,j7_ms10,j7_fa10,j7_cr10,j7_hr02,j7_ms02,j7_fa02,j7_cr02,j7_hr01,j7_ms01,j7_fa01,j7_cr01,j8_hr100,j8_ms100,j8_fa100,j8_cr100,j8_hr50,j8_ms50,j8_fa50,j8_cr50,j8_hr10,j8_ms10,j8_fa10,j8_cr10,j8_hr02,j8_ms02,j8_fa02,j8_cr02,j8_hr01,j8_ms01,j8_fa01,j8_cr01
101,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,1,0,1,1,2,0,1,1,3,0,2,1,2,0,0,0,3,1,4,0,3,3,0,2,3,0,0,1,1,1,2,2,0,1,1,2,1,0,0,1,2,2,1,2,0,0,1,4,4,2,2,3,4,0,3,2,1,0,3,2,1,3,1,4,3,0,0,3,2,2,1,1,5,1,3,1,1,2,1,2,1,0,0,2,3,0,2,4,0,1,0,0,1,1,0,1,2,3,0,0,1,0,1,0,5,0,0,0,1,0,1,2,1,0,3,2,3,0,3,0,1,0,0,2,1,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,1,0,4,1,2,2,3,1,4,4,3,4,0,2,1,2,4,4,0,1,3,1,3,2,6,2,4,1,3,3,1,1,1,4,0,1,4,5,0,1,1,0,3,0,3,2,1,0,2,0,0,0,3,2,0,2,1,4,0,0,8,1,2,0,1,1,1,1,0,2,0,1,0,2,1,0,1,1,1,0,1,3,1,0,3,1,0,2,3,2,0,2,3,4,1,1,2,3,0,0,1
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,2,1,1,2,1,1,2,1,0,5,4,0,1,3,5,6,6,5,6,3,4,5,8,2,2,6,11,1,1,4,6,1,0,8,2,3,1,2,1,1,0,4,1,1,0,8,3,0,0,5,6,0,0,3,0,1,0,1,2,0,0,1,2,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,2,4,2,1,4,1,3,4,4,4,4,6,5,1,0,7,8,0,2,6,4,2,5,1,9,1,7,1,4,3,3,1,8,0,5,5,7,1,1,5,1,3,6,2,3,0,2,0,2,0,2,0,2,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,1,4,1,1,1,0,1,0,2,2,0,2,0,2,1,0,0,3,1,0,2,3,1,0,1,3,1,2,1,1,2,1,1,2,2,1,2,1,0,0,3,3,0,2,5,5,0,3,1,2,0,0,2,4,0,2,4,3,0,0,5,3,0,1,1,2,0,3,4,5,0,3,4,4,1,3,3,7,0,0,3,2,1,4,0,2,0,0,0,3,0,1,2,1,0,1,1,2,0,0,4,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
106,0,1,0,1,0,1,0,0,3,0,0,2,0,0,0,1,1,0,0,2,0,0,0,1,0,2,0,1,0,0,1,2,1,0,1,2,2,0,0,3,0,2,0,1,2,0,0,4,0,0,0,0,2,2,0,3,3,2,0,1,0,3,1,7,0,2,0,2,1,2,1,1,3,2,3,2,4,0,0,3,1,5,0,2,1,3,1,6,2,3,2,3,3,0,1,2,3,2,0,4,2,1,0,1,1,3,0,1,1,0,2,2,2,1,0,2,1,0,2,2,0,2,1,3,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,2,1,1,2,3,1,0,1,1,0,0,1,0,0,0,0
107,0,0,1,0,2,0,0,1,4,3,1,1,3,1,0,2,4,0,1,3,0,1,1,6,2,2,0,1,1,0,1,3,1,0,0,7,2,0,0,1,5,2,2,3,3,3,1,3,3,0,3,4,3,2,1,3,6,0,1,4,1,1,0,1,2,0,1,1,2,0,0,2,2,0,1,1,1,1,0,3,2,0,1,0,0,0,0,0,3,0,0,2,3,0,0,0,1,0,0,1,2,0,0,2,0,0,1,4,0,0,0,0,1,0,0,2,0,0,0,2,2,0,0,1,3,0,0,4,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0,1,0,1,0,2,0,0,1,1,0,0,0,2,0,0,1
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,11,5,10,5,11,4,10,5,12,2,7,5,12,3,7,7,11,1,6,8,0,0,0,0,1,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,0,1,1,1,2,0,3,1,4,1,0,3
109,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,2,2,0,2,0,1,2,2,0,0,1,3,0,1,0,1,2,1,1,0,1,2,3,1,1,0,1,1,1,2,3,1,1,3,2,3,0,1,2,0,3,1,0,1,0,1,1,1,0,2,1,3,1,2,2,1,0,1,1,3,2,2,2,6,3,4,3,5,0,2,2,3,0,2,1,2,3,1,5,2,2,1,2,1,1,0,1,4,1,1,0,3,1,1,2,3,0,0,1,0,2,2,0,2,0,0,1,2,0,3,0,2,0,2,0,1,0,0,2
110,0,3,1,3,3,2,0,3,1,1,1,1,1,1,0,4,1,0,0,1,0,2,1,1,0,0,0,2,0,1,0,0,2,0,0,1,4,0,0,1,0,1,1,0,2,2,1,2,1,4,3,2,1,1,0,2,1,0,0,2,0,6,0,5,3,4,4,0,4,3,1,6,7,3,1,6,7,0,0,10,2,0,0,0,0,1,0,2,1,0,1,1,0,0,0,1,4,0,0,2,0,1,3,1,0,0,0,0,1,0,1,0,0,2,0,2,1,0,0,1,1,1,0,2,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,2,2,0,0,0,1,0,0,2,3,2,1,0,1,5,0,0,1,0,2,0,2,0,1,0,3,2,1,1,0,2,0,1,1,0,0,0,1,0,3,0,4,1,1,2,2,1,2,1,3,3,0,2,1,1,0,0,2,2,0,0,0,2,0,1,1,1,0,1,0,4,1,1,0,2,0,0,2,3,0,1,1,3,0,1,0,4,0,1,2,2,0,0,1,3,0,0,2,1,0,0,0,2,0,1,0,0,1,1,0,0,0,0,3,2,0,0,1,0,1,1,0,0,1,0,0,2,0,0,1,1,0,1,0,0,0,0,2,5,1,2,3,6,1,0,6,4,0,1,1,2,0,1,5,5,0,0,7
112,1,2,2,0,2,0,3,2,4,1,2,0,2,1,4,0,4,0,3,3,3,2,2,1,4,3,2,1,5,2,3,3,4,0,3,0,2,0,1,1,3,1,4,5,3,0,3,1,3,0,3,1,4,0,1,1,2,0,0,1,1,0,1,1,3,1,1,1,1,0,1,0,2,0,5,0,0,2,1,2,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,2,1,1,2,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,1,0,1,0,3,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,2,2,0,1,2
113,2,1,0,3,4,2,1,2,4,1,1,1,6,2,1,2,3,0,0,4,4,0,0,0,2,1,1,2,1,0,0,1,0,0,1,1,2,0,0,0,3,1,4,2,2,0,1,2,2,1,0,1,1,0,2,2,3,0,0,3,1,1,1,3,1,0,0,1,3,0,2,0,1,1,1,1,2,0,0,3,0,0,0,0,1,0,0,1,0,0,3,1,2,0,1,1,1,0,0,1,2,0,0,0,0,2,1,0,1,0,0,0,1,0,0,1,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,2,3,0,2,4,5,0,3,5,3,0,1,3,4,0,1,5
114,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,2,2,1,0,3,1,0,0,3,2,0,0,1,2,0,1,0,3,1,0,2,2,0,0,2,1,0,1,3,1,0,0,0,3,3,0,1,0,1,0,1,4,0,0,1,3,0,0,3,4,0,0,2,1,0,1,3,6,1,0,3,2,0,0,6,3,0,0,2,6,0,1,3,1,1,4,1,1,0,0,5,3,1,0,4,4,0,0,3,2,0,0,3,3,2,1,4,2,1,0,2,2,0,0,1,4,1,0,2,3,0,0,8
115,15,1,12,1,12,0,10,5,15,0,10,4,13,2,5,12,11,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,1,2,2,0,1,1,3,0,0,0,5,1,0,2
116,0,1,0,0,0,0,0,1,1,2,0,0,1,0,0,1,1,0,0,1,2,2,0,1,1,2,2,1,0,1,4,1,1,0,0,1,0,0,0,1,1,3,1,3,0,5,3,1,0,4,2,3,2,0,2,6,7,0,1,5,2,3,0,10,2,6,1,5,6,1,1,6,10,0,1,4,7,0,1,6,0,2,0,2,2,0,1,1,2,0,0,0,4,0,1,2,2,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,2,4,1,1,1,4,0,2,2,4,0,1,1,4,0,0,4,0,4,1,3,3,1,0,3,2,1,2,2,2,1,3,2,7,0,0,2,3,2,1,2,3,0,3,1,3,0,2,2,4,1,2,3,3,0,0,6,0,1,3,4,4,0,4,3,6,0,2,2,5,0,0,6,2,0,0,5,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
